Diary writing,Daily,2022-10-01 16:14:39.215689
Diary writing,Daily,2022-10-02 16:14:39.215689
Diary writing,Daily,2022-10-03 16:14:39.215689
Diary writing,Daily,2022-10-04 16:14:39.215689
Diary writing,Daily,2022-10-05 16:14:39.215689
Diary writing,Daily,2022-10-06 16:14:39.215689
Diary writing,Daily,2022-10-07 16:14:39.215689
Diary writing,Daily,2022-10-08 16:14:39.215689
Diary writing,Daily,2022-10-09 16:14:39.215689
Diary writing,Daily,2022-10-10 16:14:39.215689
Diary writing,Daily,2022-10-11 16:14:39.215689
Diary writing,Daily,2022-10-12 16:14:39.215689
Diary writing,Daily,2022-10-13 16:14:39.215689
Diary writing,Daily,2022-10-14 16:14:39.215689
Diary writing,Daily,2022-10-15 16:14:39.215689
Diary writing,Daily,2022-10-16 16:14:39.215689
Diary writing,Daily,2022-10-17 16:14:39.215689
Diary writing,Daily,2022-10-18 16:14:39.215689
Diary writing,Daily,2022-10-19 16:14:39.215689
Diary writing,Daily,2022-10-20 16:14:39.215689
Diary writing,Daily,2022-10-21 16:14:39.215689
Diary writing,Daily,2022-10-22 16:14:39.215689
Diary writing,Daily,2022-10-23 16:14:39.215689
Diary writing,Daily,2022-10-24 16:14:39.215689
Diary writing,Daily,2022-10-25 16:14:39.215689
Diary writing,Daily,2022-10-26 16:14:39.215689
Diary writing,Daily,2022-10-27 16:14:39.215689
Diary writing,Daily,2022-10-28 16:14:39.215689
Meditation,Weekly,2022-10-01 16:14:39.215689
Meditation,Weekly,2022-10-08 16:14:39.215689
Meditation,Weekly,2022-10-15 16:14:39.215689
Meditation,Weekly,2022-10-22 16:14:39.215689
Jogging,Weekly,2022-10-02 16:14:39.215689
Jogging,Weekly,2022-10-09 16:14:39.215689
Jogging,Weekly,2022-10-23 16:14:39.215689
Walking the dog,Daily,2022-10-01 16:14:39.215689
Walking the dog,Daily,2022-10-02 16:14:39.215689
Walking the dog,Daily,2022-10-03 16:14:39.215689
Walking the dog,Daily,2022-10-04 16:14:39.215689
Walking the dog,Daily,2022-10-05 16:14:39.215689
Walking the dog,Daily,2022-10-06 16:14:39.215689
Walking the dog,Daily,2022-10-07 16:14:39.215689
Walking the dog,Daily,2022-10-08 16:14:39.215689
Walking the dog,Daily,2022-10-09 16:14:39.215689
Walking the dog,Daily,2022-10-10 16:14:39.215689
Walking the dog,Daily,2022-10-11 16:14:39.215689
Walking the dog,Daily,2022-10-12 16:14:39.215689
Walking the dog,Daily,2022-10-13 16:14:39.215689
Walking the dog,Daily,2022-10-14 16:14:39.215689
Walking the dog,Daily,2022-10-15 16:14:39.215689
Walking the dog,Daily,2022-10-16 16:14:39.215689
Walking the dog,Daily,2022-10-17 16:14:39.215689
Walking the dog,Daily,2022-10-18 16:14:39.215689
Walking the dog,Daily,2022-10-19 16:14:39.215689
Walking the dog,Daily,2022-10-20 16:14:39.215689
Walking the dog,Daily,2022-10-21 16:14:39.215689
Walking the dog,Daily,2022-10-22 16:14:39.215689
Walking the dog,Daily,2022-10-23 16:14:39.215689
Walking the dog,Daily,2022-10-24 16:14:39.215689
Walking the dog,Daily,2022-10-25 16:14:39.215689
Walking the dog,Daily,2022-10-27 16:14:39.215689
Walking the dog,Daily,2022-10-28 16:14:39.215689
Plan your week,Weekly,2022-10-01 16:14:39.215689
Plan your week,Weekly,2022-10-08 16:14:39.215689
Plan your week,Weekly,2022-10-15 16:14:39.215689
Plan your week,Weekly,2022-10-22 16:14:39.215689